,Price_Level,Date_Index
981,2.1138,2020-10
982,2.1138,2020-11
983,2.1138,2020-12
984,2.1138,2021-01
985,2.1138,2021-02
986,2.1138,2021-03
987,2.1138,2021-04
988,2.1138,2021-05
989,2.1138,2021-06
990,12.81038649,2021-07
991,20.406966666666666,2021-08
992,52.151726315789475,2021-09
993,52.151726315789475,2021-10
994,29.81,2021-11
995,29.81,2021-12
996,29.81,2022-01
997,29.81,2022-02
998,37.94,2022-03
999,37.94,2022-04
1000,37.94,2022-05
1001,0.0,2016-01
1002,0.0,2016-02
1003,0.0,2016-03
1004,0.0,2016-04
1005,0.0,2016-05
1006,0.0,2016-06
1007,0.0,2016-07
1008,0.0,2016-08
1009,0.0,2016-09
1010,1.1517499999999998,2016-10
1011,4.065,2016-11
1012,4.065,2016-12
1013,8.129999999999999,2017-01
1014,8.129999999999999,2017-02
1015,8.129999999999999,2017-03
1016,8.129999999999999,2017-04
1017,8.129999999999999,2017-05
1018,8.129999999999999,2017-06
1019,8.129999999999999,2017-07
1020,8.129999999999999,2017-08
1021,8.129999999999999,2017-09
1022,8.129999999999999,2017-10
1023,8.129999999999999,2017-11
1024,8.129999999999999,2017-12
1025,8.129999999999999,2018-01
1026,8.129999999999999,2018-02
1027,8.129999999999999,2018-03
1028,8.129999999999999,2018-04
1029,8.129999999999999,2018-05
1030,8.129999999999999,2018-06
1031,8.129999999999999,2018-07
1032,8.129999999999999,2018-08
1033,8.129999999999999,2018-09
1034,8.129999999999999,2018-10
1035,8.129999999999999,2018-11
1036,8.129999999999999,2018-12
1037,8.129999999999999,2019-01
1038,8.129999999999999,2019-02
1039,8.129999999999999,2019-03
1040,8.129999999999999,2019-04
1041,8.129999999999999,2019-05
1042,8.129999999999999,2019-06
1043,8.129999999999999,2019-07
1044,8.129999999999999,2019-08
1045,8.129999999999999,2019-09
1046,8.129999999999999,2019-10
1047,8.129999999999999,2019-11
1048,8.129999999999999,2019-12
1049,8.129999999999999,2020-01
1050,8.129999999999999,2020-02
1051,8.129999999999999,2020-03
1052,8.129999999999999,2020-04
1053,8.129999999999999,2020-05
1054,8.129999999999999,2020-06
1055,8.129999999999999,2020-07
1056,8.129999999999999,2020-08
1057,8.129999999999999,2020-09
1058,8.129999999999999,2020-10
1059,8.129999999999999,2020-11
1060,8.129999999999999,2020-12
1061,8.129999999999999,2021-01
1062,8.129999999999999,2021-02
1063,8.129999999999999,2021-03
1064,8.129999999999999,2021-04
1065,8.129999999999999,2021-05
1066,8.129999999999999,2021-06
1067,677.5,2021-07
1068,813.0,2021-08
1069,338.75,2021-09
1070,960.795,2021-10
1071,406.5,2021-11
1072,406.5,2021-12
1073,406.5,2022-01
1074,406.5,2022-02
1075,747.2850000000001,2022-03
1076,747.2850000000001,2022-04
1077,747.2850000000001,2022-05
1078,0.0,2016-01
1079,0.0,2016-02
1080,0.0,2016-03
1081,0.0,2016-04
1082,0.0,2016-05
1083,0.0,2016-06
1084,0.0,2016-07
1085,0.0,2016-08
1086,0.0,2016-09
1087,0.8130000000000001,2016-10
1088,0.8130000000000001,2016-11
1089,0.792675,2016-12
1090,2.3848,2017-01
1091,2.168,2017-02
1092,2.168,2017-03
1093,2.168,2017-04
1094,2.168,2017-05
1095,2.168,2017-06
1096,2.168,2017-07
1097,2.168,2017-08
1098,2.168,2017-09
1099,2.168,2017-10
1100,2.168,2017-11
1101,2.168,2017-12
1102,2.168,2018-01
1103,2.168,2018-02
1104,2.168,2018-03
1105,2.168,2018-04
1106,2.168,2018-05
1107,2.168,2018-06
1108,2.168,2018-07
1109,2.168,2018-08
1110,2.168,2018-09
1111,2.168,2018-10
1112,2.168,2018-11
1113,2.168,2018-12
1114,2.168,2019-01
1115,2.168,2019-02
1116,2.168,2019-03
1117,2.168,2019-04
1118,2.168,2019-05
1119,2.168,2019-06
1120,2.168,2019-07
1121,2.168,2019-08
1122,2.168,2019-09
1123,2.168,2019-10
1124,2.168,2019-11
1125,2.168,2019-12
1126,2.168,2020-01
1127,2.168,2020-02
1128,2.168,2020-03
1129,2.168,2020-04
1130,2.168,2020-05
1131,2.168,2020-06
1132,2.168,2020-07
1133,2.168,2020-08
1134,2.168,2020-09
1135,2.168,2020-10
1136,2.168,2020-11
1137,2.168,2020-12
1138,2.168,2021-01
1139,2.168,2021-02
1140,10.84,2021-03
1141,10.84,2021-04
1142,10.84,2021-05
1143,10.84,2021-06
1144,10.84,2021-07
1145,128.106,2021-08
1146,220.69625000000002,2021-09
1147,94.85,2021-10
1148,94.85,2021-11
1149,94.85,2021-12
1150,94.85,2022-01
1151,94.85,2022-02
1152,94.85,2022-03
1153,159.89,2022-04
1154,159.89,2022-05
1155,0.0,2016-01
1156,0.0,2016-02
1157,0.0,2016-03
1158,0.0,2016-04
1159,0.0,2016-05
1160,0.0,2016-06
1161,0.0,2016-07
1162,0.0,2016-08
1163,0.0,2016-09
1164,0.0,2016-10
1165,0.0,2016-11
1166,0.0,2016-12
1167,0.0,2017-01
1168,0.0,2017-02
1169,0.0,2017-03
1170,0.0,2017-04
1171,0.0,2017-05
1172,0.0,2017-06
1173,0.0,2017-07
1174,0.0,2017-08
1175,0.0,2017-09
1176,0.0,2017-10
1177,0.0,2017-11
